Speaker,Initials,Order,Season,Episode,SeriesNumber,EpisodeCount,EpisodeTotal,EpisodePct
Meredith,MP,12,6,8,99,1,328,0.00304878
Meredith,MP,12,6,9,100,4,239,0.016736402
Meredith,MP,12,6,10,101,1,218,0.004587156
Meredith,MP,12,6,11,102,0,224,0
Meredith,MP,12,6,12,103,3,302,0.009933775
Meredith,MP,12,6,13,104,0,91,0
Meredith,MP,12,6,14,105,2,195,0.01025641
Meredith,MP,12,6,15,106,4,249,0.016064257
Meredith,MP,12,6,16,107,6,574,0.010452962
Meredith,MP,12,6,17,108,5,202,0.024752475
Meredith,MP,12,6,18,109,3,280,0.010714286
Meredith,MP,12,6,19,110,1,295,0.003389831
Meredith,MP,12,6,20,111,9,260,0.034615385
Meredith,MP,12,6,21,112,0,286,0
Meredith,MP,12,6,22,113,1,267,0.003745318
Meredith,MP,12,6,23,114,3,297,0.01010101
Meredith,MP,12,6,24,115,0,184,0
Meredith,MP,12,7,1,116,3,211,0.014218009
Meredith,MP,12,7,2,117,0,252,0
Meredith,MP,12,7,3,118,1,203,0.004926108
Meredith,MP,12,7,4,119,7,274,0.025547445
Meredith,MP,12,7,5,120,15,341,0.04398827
Meredith,MP,12,7,6,121,1,250,0.004
Meredith,MP,12,7,7,122,0,236,0
Meredith,MP,12,7,8,123,0,268,0
Meredith,MP,12,7,9,124,0,273,0
Meredith,MP,12,7,10,125,2,289,0.006920415
Meredith,MP,12,7,11,126,10,552,0.018115942
Meredith,MP,12,7,12,127,1,307,0.003257329
Meredith,MP,12,7,13,128,0,249,0
Meredith,MP,12,7,14,129,3,282,0.010638298
Meredith,MP,12,7,15,130,1,350,0.002857143
Meredith,MP,12,7,16,131,0,70,0
Meredith,MP,12,7,17,132,3,271,0.011070111
Meredith,MP,12,7,18,133,3,288,0.010416667
Meredith,MP,12,7,19,134,1,160,0.00625
Meredith,MP,12,7,20,135,6,195,0.030769231
Meredith,MP,12,7,21,136,6,298,0.020134228
Meredith,MP,12,7,22,137,0,166,0
Meredith,MP,12,7,23,138,1,239,0.0041841
Meredith,MP,12,7,24,139,6,435,0.013793103
Meredith,MP,12,8,1,140,6,270,0.022222222
Meredith,MP,12,8,2,141,5,306,0.016339869
Meredith,MP,12,8,3,142,4,308,0.012987013
Meredith,MP,12,8,4,143,6,230,0.026086957
Meredith,MP,12,8,5,144,9,270,0.033333333
Meredith,MP,12,8,6,145,0,312,0
Meredith,MP,12,8,7,146,0,300,0
Meredith,MP,12,8,8,147,1,266,0.003759398
Meredith,MP,12,8,9,148,1,248,0.004032258
Meredith,MP,12,8,10,149,18,313,0.057507987
Meredith,MP,12,8,11,150,8,224,0.035714286
Meredith,MP,12,8,12,151,9,285,0.031578947
Meredith,MP,12,8,13,152,2,342,0.005847953
Meredith,MP,12,8,14,153,2,260,0.007692308
Meredith,MP,12,8,15,154,2,211,0.009478673
